Date,Carlow,Cavan,Clare,Cork,Donegal,Dublin,Galway,Kerry,Kildare,Kilkenny,Laois,Leitrim,Limerick,Longford,Louth,Mayo,Meath,Monaghan,Offaly,Roscommon,Sligo,Tipperary,Waterford,Westmeath,Wexford,Wicklow
06/03/2020, ..,6,5,28, ..,72,6,8,8, ..,0,0,5,0,5,0, .., .., .., .., ..,7, ..,9, ..,9
13/03/2020, ..,  7 ,  13 ,  120 ,  13 ,  449 ,  35 ,  20 ,  40 ,  15 ,  10 ,  7 ,  30 ,  7 ,  21 ,  16 ,  22 ,  6 ,  8 ,  5 ,  7 ,  17 ,  13 ,  32 , ..,  25 
20/03/2020, ..,  42 ,  43 ,  313 ,  47 ,"  1,433 ",  101 ,  98 ,  102 ,  24 ,  27 ,  11 ,  99 ,  19 ,  57 ,  39 ,  97 ,  21 ,  58 ,  19 ,  16 ,  71 ,  18 ,  81 , ..,  84 
27/03/2020,  9 ,  67 ,  35 ,  230 ,  93 ,"  1,830 ",  76 ,  67 ,  157 ,  48 ,  31 ,  7 ,  74 ,  23 ,  98 ,  64 ,  100 ,  31 ,  43 ,  20 ,  19 ,  71 ,  23 ,  66 ,  19 ,  86 
03/04/2020,  32 ,  137 ,  26 ,  143 ,  100 ,"  1,722 ",  61 ,  39 ,  195 ,  49 ,  40 ,  15 ,  66 ,  23 ,  77 ,  84 ,  146 ,  67 ,  39 ,  20 ,  10 ,  72 ,  23 ,  66 ,  24 ,  118 
10/04/2020,  23 ,  121 ,  47 ,  160 ,  82 ,"  1,527 ",  19 ,  29 ,  206 ,  58 ,  52 ,  10 ,  78 ,  19 ,  142 ,  81 ,  120 ,  79 ,  55 ,  29 ,  13 ,  74 ,  25 ,  70 ,  25 ,  100 
17/04/2020,20,137,46,83,51,"  1,295 ",26,13,206,29,35,7,58,26,126,77,79,50,35,49,27,57,13,75,54,78
24/04/2020,14,173,88,56,40,"  1,645 ",43,16,302,30,42,5,49,43,136,124,135,146,85,24,11,94,21,97,34,125
01/05/2020,31,55,20,60,14,845,27,11,113,28,20,6,50,107,29,32,44,51,55,71,11,47,..,88,18,44
08/05/2020,5,45,14,50,6,456,21,..,42,27,6,11,25,12,34,22,30,21,22,61,9,16,..,58,16,18
15/05/2020,6,28,6,129,..,228,30,0,29,13,..,5,18,6,10,14,12,20,75,11,..,8,..,12,..,10
22/05/2020,..,20,6,69,0,211,19,0,24,27,..,0,14,..,14,9,13,17,10,10,..,..,..,7,0,..
