Date,Carlow,Cavan,Clare,Cork,Donegal,Dublin,Galway,Kerry,Kildare,Kilkenny,Laois,Leitrim,Limerick,Longford,Louth,Mayo,Meath,Monaghan,Offaly,Roscommon,Sligo,Tipperary,Waterford,Westmeath,Wexford,Wicklow
06/03/2020,0,0,0,0,0,..,0,0,..,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0
13/03/2020,0,0,0,..,..,33,0,..,0,0,..,0,0,0,..,..,..,0,..,0,..,0,0,..,..,..
20/03/2020,..,..,0,11,6,84,0,..,5,..,..,..,5,..,..,..,8,5,..,0,0,..,0,..,..,0
27/03/2020,..,10,6,10,13,122,..,..,28,..,..,0,..,..,8,7,14,10,0,0,0,7,0,..,..,9
03/04/2020,5,7,..,12,9,118,..,..,33,..,10,0,..,..,11,8,11,8,..,..,..,..,0,5,..,10
10/04/2020,0,7,..,6,9,108,..,..,31,..,..,0,5,..,8,7,10,10,0,0,..,..,0,6,8,6
17/04/2020,..,5,6,..,..,89,0,0,16,..,0,0,..,0,..,7,..,7,..,0,0,..,0,..,..,..
24/04/2020,0,5,6,5,..,77,..,0,11,..,0,..,0,..,6,..,..,5,..,0,..,..,..,..,..,..
01/05/2020,0,..,..,0,0,41,..,0,..,..,0,..,..,0,..,..,..,..,..,..,0,..,0,..,0,..
08/05/2020,0,..,..,0,0,25,0,0,..,0,0,0,..,0,..,..,..,0,0,..,0,0,0,0,0,..
15/05/2020,..,..,..,0,..,18,..,0,5,0,0,0,..,0,..,..,0,..,0,..,0,..,0,0,0,0
22/05/2020,..,0,..,..,0,13,0,0,0,..,0,0,0,..,0,0,0,..,0,..,0,0,..,0,0,..
29/05/2020,..,0,0,0,0,14,..,0,..,0,0,0,0,..,..,..,0,0,0,0,0,0,0,0,0,..
05/06/2020,0,0,0,0,..,6,0,0,..,0,0,..,0,0,..,0,0,0,0,..,0,..,0,0,0,0
12/06/2020,0,..,..,0,0,9,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,..,..
19/06/2020,0,0,..,0,0,..,0,0,0,..,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,..
26/06/2020,..,0,0,0,0,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/07/2020,0,..,0,0,0,..,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/07/2020,0,0,0,0,0,..,0,0,0,0,0,0,..,0,0,0,0,..,0,0,0,0,0,0,0,..
17/07/2020,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0
24/07/2020,0,..,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/07/2020,0,0,0,0,0,..,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0
07/08/2020,0,0,0,0,0,..,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/08/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
